Titulo,URL,Descripcion,limpieza,origenes
The Incredible Hulk,/title/tt0800080/,Action Adventure SciFi             Bruce Banner a scientist on the run from the US Government must find a cure for the monster he turns into whenever he loses his temper,action adventure scifi bruce banner scientist run us government must find cure monster turns whenever loses temper,action adventur scifi bruce banner scientist run us govern must find cure monster turn whenev lose temper
Chupa,/title/tt14923260/,Action Adventure Drama             While visiting family in Mexico teenage Alex gains an unlikely companion when he discovers a young chupacabra hiding in his grandpas shed To save the mythical creature Alex and his cousins must embark on the adventure of a lifetime,action adventure drama visiting family mexico teenage alex gains unlikely companion discovers young chupacabra hiding grandpas shed save mythical creature alex cousins must embark adventure lifetime,action adventur drama visit famili mexico teenag alex gain unlik companion discov young chupacabra hide grandpa shed save mythic creatur alex cousin must embark adventur lifetim
Pretty in Pink,/title/tt0091790/,Comedy Drama Romance             A poor girl must choose between the affections of dating her childhood sweetheart or a rich but sensitive playboy,comedy drama romance poor girl must choose affections dating childhood sweetheart rich sensitive playboy,comedi drama romanc poor girl must choos affect date childhood sweetheart rich sensit playboy
Bridge to Terabithia,/title/tt0398808/,Drama Family Fantasy             A preteens life turns upside down when he befriends the new girl in school and they imagine a whole new fantasy world to escape reality,drama family fantasy preteens life turns upside befriends new girl school imagine whole new fantasy world escape reality,drama famili fantasi preteen life turn upsid befriend new girl school imagin whole new fantasi world escap realiti
Rear Window,/title/tt0047396/,Mystery Thriller             A photographer in a wheelchair spies on his neighbors from his Greenwich Village courtyard apartment window and becomes convinced one of them has committed murder despite the skepticism of his fashionmodel girlfriend,mystery thriller photographer wheelchair spies neighbors greenwich village courtyard apartment window becomes convinced one committed murder despite skepticism fashionmodel girlfriend,mysteri thriller photograph wheelchair spi neighbor greenwich villag courtyard apart window becom convinc one commit murder despit skeptic fashionmodel girlfriend
Oldboy,/title/tt1321511/,Action Drama Mystery             Obsessed with vengeance a man sets out to find out why he was kidnapped and locked into solitary confinement for twenty years without reason,action drama mystery obsessed vengeance man sets find kidnapped locked solitary confinement twenty years without reason,action drama mysteri obsess vengeanc man set find kidnap lock solitari confin twenti year without reason
Falling Down,/title/tt0106856/,Action Crime Drama             An ordinary man frustrated with the various flaws he sees in society begins to psychotically and violently lash out against them,action crime drama ordinary man frustrated various flaws sees society begins psychotically violently lash,action crime drama ordinari man frustrat various flaw see societi begin psychot violent lash
Planet of the Apes,/title/tt0063442/,Adventure SciFi             An astronaut crew crashlands on a planet where highly intelligent nonhuman ape species are dominant and humans are enslaved,adventure scifi astronaut crew crashlands planet highly intelligent nonhuman ape species dominant humans enslaved,adventur scifi astronaut crew crashland planet high intellig nonhuman ape speci domin human enslav
The Ritual Killer,/title/tt13141250/,Crime Mystery Thriller             A detective on the verge of retirement teams with a professor of African Studies to track down a serial killer who is performing the ancient black magic practice of Muti,crime mystery thriller detective verge retirement teams professor african studies track serial killer performing ancient black magic practice muti,crime mysteri thriller detect verg retir team professor african studi track serial killer perform ancient black magic practic muti
The Last Stand,/title/tt1549920/,Action Thriller Western             The leader of a drug cartel busts out of a courthouse and speeds to the Mexican border where the only thing in his path is a sheriff and his inexperienced staff,action thriller western leader drug cartel busts courthouse speeds mexican border thing path sheriff inexperienced staff,action thriller western leader drug cartel bust courthous speed mexican border thing path sheriff inexperienc staff
